[Ano],[Mês/Ano],[Campo],[Bacia],[Instalação],[Poço],[Estado],[Ambiente],[Produção de Óleo (m³)],[Produção de Gás Associado (Mm³)],[Produção de Gás Não Associado (Mm³)],[Produção de Água (m³)],[Injeção de Gás (Mm³)],[Produção de Condensado (m³)],[Injeção de Água para Recuperação Secundária (m³)],[Injeção de Água para Descarte (m³)],[Injeção de Gás Carbônico (Mm³)],[Injeção de Nitrogênio (Mm³)],[Injeção de Vapor de Água (t)],[Injeção de Polímeros (m³)],[Injeção de Outros Fluidos (m³)],[Produção Total (m³)],[Gás Total (Mm³)],[Produção de óleo (Mm³)],Mês,Ano,Data
2024,jul/2024,TUPI,Santos,FPSO CIDADE DE MARICÁ,7TUP128DRJS,Rio de Janeiro,MAR,6314.0,1549.0,0.0,312.0,0.0,,,,,,,,,6626.0,1549.0,6.314,Jul,2024,2024-07-01
2024,jul/2024,BONITO,Campos,PLATAFORMA DE ENCHOVA,7BO13HRJS,Rio de Janeiro,MAR,1906.0,172.0,0.0,13.0,0.0,,,,,,,,,1919.0,172.0,1.906,Jul,2024,2024-07-01
2024,jul/2024,BONITO,Campos,PLATAFORMA DE ENCHOVA,7BO25HRJS,Rio de Janeiro,MAR,4573.0,350.0,0.0,3724.0,0.0,,,,,,,,,8297.0,350.0,4.573,Jul,2024,2024-07-01
2024,jul/2024,BONITO,Campos,PLATAFORMA DE ENCHOVA,7BO23HRJS,Rio de Janeiro,MAR,1636.0,147.0,0.0,223.0,0.0,,,,,,,,,1859.0,147.0,1.636,Jul,2024,2024-07-01
2024,jul/2024,BONITO,Campos,PLATAFORMA DE ENCHOVA,7EN7DRJS,Rio de Janeiro,MAR,2307.0,194.0,0.0,2724.0,0.0,,,,,,,,,5031.0,194.0,2.307,Jul,2024,2024-07-01
2024,jul/2024,BONITO,Campos,PLATAFORMA DE ENCHOVA,7BO14DRJS,Rio de Janeiro,MAR,855.0,78.0,0.0,989.0,0.0,,,,,,,,,1844.0,78.0,0.855,Jul,2024,2024-07-01
2024,jul/2024,BONITO,Campos,PLATAFORMA DE ENCHOVA,7BO21HPRJS,Rio de Janeiro,MAR,2799.0,236.0,0.0,651.0,0.0,,,,,,,,,3450.0,236.0,2.799,Jul,2024,2024-07-01
2024,jul/2024,ENCHOVA OESTE,Campos,PLATAFORMA DE ENCHOVA,4RJS430DRJ,Rio de Janeiro,MAR,3877.0,280.0,0.0,1119.0,0.0,,,,,,,,,4996.0,280.0,3.877,Jul,2024,2024-07-01
2024,mai/2024,PAMPO,Campos,PLATAFORMA DE PAMPO 1,7PM9DRJS,Rio de Janeiro,MAR,1098.0,348.0,0.0,19189.0,0.0,,,,,,,,,20287.0,348.0,1.098,May,2024,2024-05-01
2024,mai/2024,PAMPO,Campos,PLATAFORMA DE PAMPO 1,7PM7DRJS,Rio de Janeiro,MAR,736.0,117.0,0.0,16398.0,0.0,,,,,,,,,17134.0,117.0,0.736,May,2024,2024-05-01
2024,mai/2024,PAMPO,Campos,PLATAFORMA DE PAMPO 1,7PM35DPRJS,Rio de Janeiro,MAR,891.0,74.0,0.0,5068.0,0.0,,,,,,,,,5959.0,74.0,0.891,May,2024,2024-05-01
2024,mai/2024,PAMPO,Campos,PLATAFORMA DE PAMPO 1,7PM19DRJS,Rio de Janeiro,MAR,888.0,346.0,0.0,17018.0,0.0,,,,,,,,,17906.0,346.0,0.888,May,2024,2024-05-01
2024,mai/2024,PAMPO,Campos,PLATAFORMA DE PAMPO 1,7PM55DPRJS,Rio de Janeiro,MAR,2066.0,172.0,0.0,9388.0,0.0,,,,,,,,,11454.0,172.0,2.066,May,2024,2024-05-01
2024,mai/2024,PAMPO,Campos,PLATAFORMA DE PAMPO 1,7PM42DPRJS,Rio de Janeiro,MAR,942.0,352.0,0.0,22763.0,0.0,,,,,,,,,23705.0,352.0,0.942,May,2024,2024-05-01
2024,mai/2024,PAMPO,Campos,PLATAFORMA DE PAMPO 1,7PM40DPRJS,Rio de Janeiro,MAR,1662.0,192.0,0.0,17083.0,0.0,,,,,,,,,18745.0,192.0,1.662,May,2024,2024-05-01
