[Ano],[Mês/Ano],[Campo],[Bacia],[Instalação],[Poço],[Estado],[Ambiente],[Produção de Óleo (m³)],[Produção de Gás Associado (Mm³)],[Produção de Gás Não Associado (Mm³)],[Produção de Água (m³)],[Injeção de Gás (Mm³)],[Produção de Condensado (m³)],[Injeção de Água para Recuperação Secundária (m³)],[Injeção de Água para Descarte (m³)],[Injeção de Gás Carbônico (Mm³)],[Injeção de Nitrogênio (Mm³)],[Injeção de Vapor de Água (t)],[Injeção de Polímeros (m³)],[Injeção de Outros Fluidos (m³)]
2024,set/2024,ABALONE,Campos,FPSO ESPIRITO SANTO,7ABA2DESS,Espírito Santo,MAR,3,2,0,0,0,,,,,,,,
2024,mar/2024,JUBARTE,Campos,Petrobras 58,7JUB69ESS,Espírito Santo,MAR,0,0,0,29031,0,,,,,,,,
2024,mar/2024,ALBACORA,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jul/2024,ALBACORA,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jul/2024,ALBACORA,Campos,FPSO FORTE,7ABL56HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,ALBACORA,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,ago/2024,PAPA-TERRA,Campos,Plataforma 3R-3,7PPT7HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,ABALONE,Campos,FPSO ESPIRITO SANTO,7ABA2DESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,jul/2024,ALBACORA LESTE,Campos,FPSO FORTE,7ABL56HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jul/2024,ALBACORA LESTE,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP36DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jul/2024,PAPA-TERRA,Campos,Plataforma 3R-3,7PPT7HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,PAPA-TERRA,Campos,Plataforma 3R-3,7PPT7HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,PAPA-TERRA,Campos,Plataforma 3R-2,7PPT17HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,ago/2024,ALBACORA LESTE,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,ALBACORA LESTE,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,ago/2024,ALBACORA LESTE,Campos,FPSO FORTE,7ABL56HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,ALBACORA LESTE,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,ABALONE,Campos,FPSO ESPIRITO SANTO,7ABA2DESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,PAPA-TERRA,Campos,Plataforma 3R-3,7PPT7HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,PAPA-TERRA,Campos,Plataforma 3R-2,7PPT17HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,abr/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,7PER2ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,abr/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,6BRSA475ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,abr/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,7PER1ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP45DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 3,7CRP51DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 3,7CRP55DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 3,7CRP52DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 1,7CRP11RJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP17DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP22DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP29DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,fev/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP35DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,ago/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,7PER2ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,ago/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,6BRSA475ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,ago/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,7PER1ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,VERMELHO,Campos,PLATAFORMA DE VERMELHO 1,7VM63DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,VERMELHO,Campos,PLATAFORMA DE VERMELHO 1,7VM10DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,VERMELHO,Campos,PLATAFORMA DE VERMELHO 3,7VM1RJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP45DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jul/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,7PER2ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,jul/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,6BRSA475ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,jul/2024,PEROÁ,Espírito Santo,Plataforma 3R-1,7PER1ESS,Espírito Santo,MAR,0,0,0,0,0,,,,,,,,
2024,abr/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP45DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,mar/2024,PARGO,Campos,PLATAFORMA DE PARGO 1A,7PG25DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,PAPA-TERRA,Campos,Plataforma 3R-3,7PPT7HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,PAPA-TERRA,Campos,Plataforma 3R-2,7PPT17HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,PAPA-TERRA,Campos,Plataforma 3R-3,7PPT12HRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP45DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 3,7CRP51DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 3,7CRP55DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 3,7CRP52DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 1,7CRP11RJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP17DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP22DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP29DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,CARAPEBA,Campos,PLATAFORMA DE CARAPEBA 2,7CRP35DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,ALBACORA LESTE,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,VERMELHO,Campos,PLATAFORMA DE VERMELHO 1,7VM63DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,VERMELHO,Campos,PLATAFORMA DE VERMELHO 1,7VM5RJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,VERMELHO,Campos,PLATAFORMA DE VERMELHO 1,7VM10DRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,VERMELHO,Campos,PLATAFORMA DE VERMELHO 3,7VM1RJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
2024,jan/2024,ALBACORA,Campos,FPSO FORTE,7ABL13HPRJS,Rio de Janeiro,MAR,0,0,0,0,0,,,,,,,,
